,geometry,species_count
0,POINT (-85.93364073002176 10.899635380985842),0
1,POINT (-85.92555603002177 10.889765980985842),0
2,POINT (-85.92555603002177 10.899635380985842),0
3,POINT (-85.91747133002177 10.889765980985842),0
4,POINT (-85.91747133002177 10.899635380985842),16
5,POINT (-85.91747133002177 10.909504780985841),0
6,POINT (-85.90938663002177 10.879896580985843),0
7,POINT (-85.90938663002177 10.889765980985842),14
8,POINT (-85.90938663002177 10.899635380985842),16
9,POINT (-85.90938663002177 10.909504780985841),0
10,POINT (-85.90938663002177 10.919374180985841),0
11,POINT (-85.90130193002177 10.879896580985843),0
12,POINT (-85.90130193002177 10.889765980985842),16
13,POINT (-85.90130193002177 10.899635380985842),16
14,POINT (-85.90130193002177 10.909504780985841),0
15,POINT (-85.90130193002177 10.919374180985841),0
16,POINT (-85.90130193002177 10.92924358098584),0
17,POINT (-85.89321723002178 10.879896580985843),2
18,POINT (-85.89321723002178 10.889765980985842),16
19,POINT (-85.89321723002178 10.899635380985842),16
20,POINT (-85.89321723002178 10.909504780985841),16
21,POINT (-85.89321723002178 10.919374180985841),0
22,POINT (-85.89321723002178 10.92924358098584),0
23,POINT (-85.88513253002178 10.870027180985844),0
24,POINT (-85.88513253002178 10.879896580985843),16
25,POINT (-85.88513253002178 10.889765980985842),16
26,POINT (-85.88513253002178 10.899635380985842),16
27,POINT (-85.88513253002178 10.909504780985841),16
28,POINT (-85.88513253002178 10.919374180985841),0
29,POINT (-85.88513253002178 10.92924358098584),0
30,POINT (-85.88513253002178 10.93911298098584),0
31,POINT (-85.87704783002178 10.870027180985844),0
32,POINT (-85.87704783002178 10.879896580985843),16
33,POINT (-85.87704783002178 10.889765980985842),16
34,POINT (-85.87704783002178 10.899635380985842),16
35,POINT (-85.87704783002178 10.909504780985841),16
36,POINT (-85.87704783002178 10.919374180985841),1
37,POINT (-85.87704783002178 10.92924358098584),0
38,POINT (-85.87704783002178 10.93911298098584),0
39,POINT (-85.87704783002178 10.94898238098584),0
40,POINT (-85.86896313002178 10.860157780985844),0
41,POINT (-85.86896313002178 10.870027180985844),0
42,POINT (-85.86896313002178 10.879896580985843),16
43,POINT (-85.86896313002178 10.889765980985842),16
44,POINT (-85.86896313002178 10.899635380985842),16
45,POINT (-85.86896313002178 10.909504780985841),16
46,POINT (-85.86896313002178 10.919374180985841),16
47,POINT (-85.86896313002178 10.92924358098584),0
48,POINT (-85.86896313002178 10.93911298098584),16
49,POINT (-85.86896313002178 10.94898238098584),0
50,POINT (-85.86087843002178 10.860157780985844),0
51,POINT (-85.86087843002178 10.870027180985844),16
52,POINT (-85.86087843002178 10.879896580985843),16
53,POINT (-85.86087843002178 10.889765980985842),16
54,POINT (-85.86087843002178 10.899635380985842),16
55,POINT (-85.86087843002178 10.909504780985841),16
56,POINT (-85.86087843002178 10.919374180985841),16
57,POINT (-85.86087843002178 10.92924358098584),16
58,POINT (-85.86087843002178 10.93911298098584),16
59,POINT (-85.86087843002178 10.94898238098584),0
60,POINT (-85.86087843002178 10.958851780985839),0
61,POINT (-85.85279373002179 10.860157780985844),16
62,POINT (-85.85279373002179 10.870027180985844),16
63,POINT (-85.85279373002179 10.879896580985843),16
64,POINT (-85.85279373002179 10.889765980985842),16
65,POINT (-85.85279373002179 10.899635380985842),16
66,POINT (-85.85279373002179 10.909504780985841),16
67,POINT (-85.85279373002179 10.919374180985841),16
68,POINT (-85.85279373002179 10.92924358098584),16
69,POINT (-85.85279373002179 10.93911298098584),16
70,POINT (-85.85279373002179 10.94898238098584),0
71,POINT (-85.85279373002179 10.958851780985839),0
72,POINT (-85.85279373002179 10.968721180985838),0
73,POINT (-85.84470903002179 10.850288380985845),3
74,POINT (-85.84470903002179 10.860157780985844),16
75,POINT (-85.84470903002179 10.870027180985844),16
76,POINT (-85.84470903002179 10.879896580985843),16
77,POINT (-85.84470903002179 10.889765980985842),16
78,POINT (-85.84470903002179 10.899635380985842),16
79,POINT (-85.84470903002179 10.909504780985841),16
80,POINT (-85.84470903002179 10.919374180985841),16
81,POINT (-85.84470903002179 10.92924358098584),16
82,POINT (-85.84470903002179 10.93911298098584),16
83,POINT (-85.84470903002179 10.94898238098584),0
84,POINT (-85.84470903002179 10.958851780985839),0
85,POINT (-85.84470903002179 10.968721180985838),0
86,POINT (-85.83662433002179 10.850288380985845),16
87,POINT (-85.83662433002179 10.860157780985844),16
88,POINT (-85.83662433002179 10.870027180985844),16
89,POINT (-85.83662433002179 10.879896580985843),16
90,POINT (-85.83662433002179 10.889765980985842),16
